Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Maksim Afinogenov,22,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Annica Åhlén,27,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Lotta Almblad,29,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Tony Amonte,31,United States,2002,24/02/2002,Ice Hockey,0,1,0
Anna Andersson,20,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Gunilla Andersson,26,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Dana Antal,24,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Chris Bailey,30,United States,2002,24/02/2002,Ice Hockey,0,1,0
Laurie Baker,25,United States,2002,24/02/2002,Ice Hockey,0,1,0
Tom Barrasso,36,United States,2002,24/02/2002,Ice Hockey,0,1,0
Kelly Béchard,24,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Emelie Berggren,19,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Kristina Bergstrand,38,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Rob Blake,32,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Jennifer Botterill,22,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Eric Brewer,22,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Thérèse Brisson,35,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Martin Brodeur,29,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Pavel Bure,30,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Valery Bure,27,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Karyn Bye,30,United States,2002,24/02/2002,Ice Hockey,0,1,0
Cassie Campbell,28,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Isabelle Chartrand,23,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Chris Chelios,40,United States,2002,24/02/2002,Ice Hockey,0,1,0
Julie Chu,19,United States,2002,24/02/2002,Ice Hockey,0,1,0
Natalie Darwitz,18,United States,2002,24/02/2002,Ice Hockey,0,1,0
Pavel Datsyuk,23,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Adam Deadmarsh,26,United States,2002,24/02/2002,Ice Hockey,0,1,0
Sara DeCosta,24,United States,2002,24/02/2002,Ice Hockey,0,1,0
Chris Drury,25,United States,2002,24/02/2002,Ice Hockey,0,1,0
Mike Dunham,29,United States,2002,24/02/2002,Ice Hockey,0,1,0
Tricia Dunn-Luoma,27,United States,2002,24/02/2002,Ice Hockey,0,1,0
Lori Dupuis,29,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Ann-Louise Edstrand,26,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Joa Elfsberg,22,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Theo Fleury,33,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Adam Foote,30,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Sergey Fyodorov,32,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Simon Gagné,21,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Sergey Gonchar,27,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Danielle Goyette,36,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Cammi Granato,30,United States,2002,24/02/2002,Ice Hockey,0,1,0
Bill Guerin,31,United States,2002,24/02/2002,Ice Hockey,0,1,0
Geraldine Heaney,34,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Jayna Hefford,24,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Erika Holst,22,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Phil Housley,37,United States,2002,24/02/2002,Ice Hockey,0,1,0
Brett Hull,37,United States,2002,24/02/2002,Ice Hockey,0,1,0
Jarome Iginla,24,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Nanna Jansson,18,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Curtis Joseph,34,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Ed Jovanovski,25,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Paul Kariya,27,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Darius Kasparaitis,29,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Becky Kellar,27,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Courtney Kennedy,22,United States,2002,24/02/2002,Ice Hockey,0,1,0
Nikolay Khabibulin,29,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Andrea Kilbourne,21,United States,2002,24/02/2002,Ice Hockey,0,1,0
Katie King,26,United States,2002,24/02/2002,Ice Hockey,0,1,0
Ilya Kovalchuk,18,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Aleksey Kovalyov,28,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Igor Kravchuk,35,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Oleg Kvasha,23,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Igor Larionov,41,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Maria Larsson,22,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
John LeClair,32,United States,2002,24/02/2002,Ice Hockey,0,1,0
Brian Leetch,33,United States,2002,24/02/2002,Ice Hockey,0,1,0
Mario Lemieux,36,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Ylva Lindberg,25,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Eric Lindros,28,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Ulrica Lindström,22,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Shelley Looney,30,United States,2002,24/02/2002,Ice Hockey,0,1,0
Al MacInnis,38,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Vladimir Malakhov,33,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Danny Markov,25,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Kim Martin,15,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Sue Merz,29,United States,2002,24/02/2002,Ice Hockey,0,1,0
Aaron Miller,30,United States,2002,24/02/2002,Ice Hockey,0,1,0
Boris Mironov,29,Russia,2002,24/02/2002,Ice Hockey,0,0,1
A. J. Mleczko,26,United States,2002,24/02/2002,Ice Hockey,0,1,0
Mike Modano,31,United States,2002,24/02/2002,Ice Hockey,0,1,0
Tara Mounsey,23,United States,2002,24/02/2002,Ice Hockey,0,1,0
Scott Niedermayer,28,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Joe Nieuwendyk,35,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Andrey Nikolishin,28,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Owen Nolan,29,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Caroline Ouellette,22,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Mike Peca,27,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Josefin Pettersson,18,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Cherie Piper,20,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Tom Poti,24,United States,2002,24/02/2002,Ice Hockey,0,1,0
Cheryl Pounder,25,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Chris Pronger,27,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Brian Rafalski,28,United States,2002,24/02/2002,Ice Hockey,0,1,0
Mike Richter,35,United States,2002,24/02/2002,Ice Hockey,0,1,0
Jeremy Roenick,32,United States,2002,24/02/2002,Ice Hockey,0,1,0
Brian Rolston,28,United States,2002,24/02/2002,Ice Hockey,0,1,0
Maria Rooth,22,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Angela Ruggiero,22,United States,2002,24/02/2002,Ice Hockey,0,1,0
Danijela Rundqvist,17,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Joe Sakic,32,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Sergey Samsonov,23,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Evelina Samuelsson,17,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Jenny Schmidgall-Potter,23,United States,2002,24/02/2002,Ice Hockey,0,1,0
Brendan Shanahan,33,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Tammy Lee Shewchuk,24,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Therese Sjölander,20,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Sami Jo Small,25,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Ryan Smyth,25,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Colleen Sostorics,22,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Kim St-Pierre,23,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Vicky Sunohara,31,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Gary Suter,37,United States,2002,24/02/2002,Ice Hockey,0,1,0
Keith Tkachuk,29,United States,2002,24/02/2002,Ice Hockey,0,1,0
Sarah Tueting,25,United States,2002,24/02/2002,Ice Hockey,0,1,0
Oleg Tverdovsky,25,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Anna Vikman,21,Sweden,2002,24/02/2002,Ice Hockey,0,0,1
Lyndsay Wall,16,United States,2002,24/02/2002,Ice Hockey,0,1,0
Doug Weight,31,United States,2002,24/02/2002,Ice Hockey,0,1,0
Krissy Wendell,20,United States,2002,24/02/2002,Ice Hockey,0,1,0
Hayley Wickenheiser,23,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Aleksey Yashin,28,Russia,2002,24/02/2002,Ice Hockey,0,0,1
Mike York,24,United States,2002,24/02/2002,Ice Hockey,0,1,0
Scott Young,34,United States,2002,24/02/2002,Ice Hockey,0,1,0
Steve Yzerman,36,Canada,2002,24/02/2002,Ice Hockey,1,0,0
Aleksey Zhamnov,31,Russia,2002,24/02/2002,Ice Hockey,0,0,1
,,Argentina,2012,12/8/12,Hockey,0,1,0
,,Argentina,2012,12/8/12,Hockey,0,1,0
Marilyn Agliotti,33,Netherlands,2012,12/8/12,Hockey,1,0,0
Lucha Aymar,34,Argentina,2012,12/8/12,Hockey,0,1,0
Sander Baart,24,Netherlands,2012,12/8/12,Hockey,0,1,0
Billy Bakker,23,Netherlands,2012,12/8/12,Hockey,0,1,0
Marcel Balkestein,31,Netherlands,2012,12/8/12,Hockey,0,1,0
Ashleigh Ball,26,Great Britain,2012,12/8/12,Hockey,0,0,1
Noel Barrionuevo,28,Argentina,2012,12/8/12,Hockey,0,1,0
Laura Bartlett,24,Great Britain,2012,12/8/12,Hockey,0,0,1
Nathan Burgers,33,Australia,2012,12/8/12,Hockey,0,0,1
Matthew Butturini,24,Australia,2012,12/8/12,Hockey,0,0,1
Joel Carroll,25,Australia,2012,12/8/12,Hockey,0,0,1
Martina Cavallero,22,Argentina,2012,12/8/12,Hockey,0,1,0
Chris Ciriello,26,Australia,2012,12/8/12,Hockey,0,0,1
Crista Cullen,26,Great Britain,2012,12/8/12,Hockey,0,0,1
Silvina D'Elia,26,Argentina,2012,12/8/12,Hockey,0,1,0
Alex Danson,27,Great Britain,2012,12/8/12,Hockey,0,0,1
Merel de Blaey,25,Netherlands,2012,12/8/12,Hockey,1,0,0
Eva de Goede,23,Netherlands,2012,12/8/12,Hockey,1,0,0
Teun de Nooijer,36,Netherlands,2012,12/8/12,Hockey,0,1,0
Bob de Voogd,23,Netherlands,2012,12/8/12,Hockey,0,1,0
Sander de Wijn,22,Netherlands,2012,12/8/12,Hockey,0,1,0
Liam De Young,30,Australia,2012,12/8/12,Hockey,0,0,1
Timothy Deavin,28,Australia,2012,12/8/12,Hockey,0,0,1
Oskar Deecke,26,Germany,2012,12/8/12,Hockey,1,0,0
Carlien Dirkse van den Heuvel,25,Netherlands,2012,12/8/12,Hockey,1,0,0
Jamie Dwyer,33,Australia,2012,12/8/12,Hockey,0,0,1
Floris Evers,29,Netherlands,2012,12/8/12,Hockey,0,1,0
Russell Ford,28,Australia,2012,12/8/12,Hockey,0,0,1
Florian Fuchs,20,Germany,2012,12/8/12,Hockey,1,0,0
Moritz Fürste,27,Germany,2012,12/8/12,Hockey,1,0,0
Maartje Goderie,28,Netherlands,2012,12/8/12,Hockey,1,0,0
Matt Gohdes,22,Australia,2012,12/8/12,Hockey,0,0,1
Kieran Govers,24,Australia,2012,12/8/12,Hockey,0,0,1
Florencia Habif,18,Argentina,2012,12/8/12,Hockey,0,1,0
Martin Häner,23,Germany,2012,12/8/12,Hockey,1,0,0
Tobias Hauke,24,Germany,2012,12/8/12,Hockey,1,0,0
Rogier Hofman,25,Netherlands,2012,12/8/12,Hockey,0,1,0
Ellen Hoog,26,Netherlands,2012,12/8/12,Hockey,1,0,0
Tim Jenniskens,25,Netherlands,2012,12/8/12,Hockey,0,1,0
Wouter Jolie,27,Netherlands,2012,12/8/12,Hockey,0,1,0
Kelly Jonker,22,Netherlands,2012,12/8/12,Hockey,1,0,0
Fergus Kavanagh,27,Australia,2012,12/8/12,Hockey,0,0,1
Robbert Kemperman,22,Netherlands,2012,12/8/12,Hockey,0,1,0
Mark Knowles,27,Australia,2012,12/8/12,Hockey,0,0,1
Oliver Korn,28,Germany,2012,12/8/12,Hockey,1,0,0
Kim Lammers,31,Netherlands,2012,12/8/12,Hockey,1,0,0
Rosario Luchetti,28,Argentina,2012,12/8/12,Hockey,0,1,0
Sofia Maccari,28,Argentina,2012,12/8/12,Hockey,0,1,0
Hannah Macleod,28,Great Britain,2012,12/8/12,Hockey,0,0,1
Emily Maguire,24,Great Britain,2012,12/8/12,Hockey,0,0,1
Delfina Merino,22,Argentina,2012,12/8/12,Hockey,0,1,0
Max Müller,25,Germany,2012,12/8/12,Hockey,1,0,0
María Mutio,27,Argentina,2012,12/8/12,Hockey,0,1,0
Eddie Ockenden,25,Australia,2012,12/8/12,Hockey,0,0,1
Simon Orchard,26,Australia,2012,12/8/12,Hockey,0,0,1
Ann Panter,28,Great Britain,2012,12/8/12,Hockey,0,0,1
Maartje Paumen,26,Netherlands,2012,12/8/12,Hockey,1,0,0
Sophie Polkamp,27,Netherlands,2012,12/8/12,Hockey,1,0,0
Jan Philipp Rabente,25,Germany,2012,12/8/12,Hockey,1,0,0
Carla Rebecchi,27,Argentina,2012,12/8/12,Hockey,0,1,0
Helen Richardson,30,Great Britain,2012,12/8/12,Hockey,0,0,1
Ana Rodríguez,31,Argentina,2012,12/8/12,Hockey,0,1,0
Chloe Rogers,27,Great Britain,2012,12/8/12,Hockey,0,0,1
Rocio Sánchez,23,Argentina,2012,12/8/12,Hockey,0,1,0
Maru Scarone,25,Argentina,2012,12/8/12,Hockey,0,1,0
Joyce Sombroek,21,Netherlands,2012,12/8/12,Hockey,1,0,0
Dani Sruoga,24,Argentina,2012,12/8/12,Hockey,0,1,0
Jose Sruoga,21,Argentina,2012,12/8/12,Hockey,0,1,0
Jaap Stockmann,28,Netherlands,2012,12/8/12,Hockey,0,1,0
Beth Storry,34,Great Britain,2012,12/8/12,Hockey,0,0,1
Thilo Stralkowski,25,Germany,2012,12/8/12,Hockey,1,0,0
Matthew Swann,23,Australia,2012,12/8/12,Hockey,0,0,1
Sarah Thomas,31,Great Britain,2012,12/8/12,Hockey,0,0,1
Glenn Turner,28,Australia,2012,12/8/12,Hockey,0,0,1
Georgie Twigg,21,Great Britain,2012,12/8/12,Hockey,0,0,1
Laura Unsworth,24,Great Britain,2012,12/8/12,Hockey,0,0,1
Naomi van As,29,Netherlands,2012,12/8/12,Hockey,1,0,0
Robert van der Horst,27,Netherlands,2012,12/8/12,Hockey,0,1,0
Mink van der Weerden,23,Netherlands,2012,12/8/12,Hockey,0,1,0
Margot van Geffen,22,Netherlands,2012,12/8/12,Hockey,1,0,0
Caia van Maasakker,23,Netherlands,2012,12/8/12,Hockey,1,0,0
Kitty van Male,24,Netherlands,2012,12/8/12,Hockey,1,0,0
Valentin Verga,22,Netherlands,2012,12/8/12,Hockey,0,1,0
Klaas Vermeulen,24,Netherlands,2012,12/8/12,Hockey,0,1,0
Kate Walsh,32,Great Britain,2012,12/8/12,Hockey,0,0,1
Sally Walton,31,Great Britain,2012,12/8/12,Hockey,0,0,1
Max Weinhold,30,Germany,2012,12/8/12,Hockey,1,0,0
Lidewij Welten,22,Netherlands,2012,12/8/12,Hockey,1,0,0
Christopher Wesley,25,Germany,2012,12/8/12,Hockey,1,0,0
Roderick Weusthof,30,Netherlands,2012,12/8/12,Hockey,0,1,0
Benjamin Weß,27,Germany,2012,12/8/12,Hockey,1,0,0
Timo Weß,30,Germany,2012,12/8/12,Hockey,1,0,0
Nicola White,24,Great Britain,2012,12/8/12,Hockey,0,0,1
Matthias Witthaus,30,Germany,2012,12/8/12,Hockey,1,0,0
Christopher Zeller,27,Germany,2012,12/8/12,Hockey,1,0,0
Philipp Zeller,29,Germany,2012,12/8/12,Hockey,1,0,0
Des Abbott,21,Australia,2008,24/08/2008,Hockey,0,0,1
Marilyn Agliotti,29,Netherlands,2008,24/08/2008,Hockey,1,0,0
Magdalena Aicega,34,Argentina,2008,24/08/2008,Hockey,0,0,1
David Alegre,23,Spain,2008,24/08/2008,Hockey,0,1,0
Ramón Alegre,27,Spain,2008,24/08/2008,Hockey,0,1,0
Pol Amat,30,Spain,2008,24/08/2008,Hockey,0,1,0
Eduard Arbós,25,Spain,2008,24/08/2008,Hockey,0,1,0
Lucha Aymar,31,Argentina,2008,24/08/2008,Hockey,0,0,1
Noel Barrionuevo,24,Argentina,2008,24/08/2008,Hockey,0,0,1
Sebastian Biederlack,26,Germany,2008,24/08/2008,Hockey,1,0,0
Minke Booij,31,Netherlands,2008,24/08/2008,Hockey,1,0,0
Travis Brooks,28,Australia,2008,24/08/2008,Hockey,0,0,1
Kiel Brown,24,Australia,2008,24/08/2008,Hockey,0,0,1
Claudia Burkart,28,Argentina,2008,24/08/2008,Hockey,0,0,1
Chen Qiuqi,28,China,2008,24/08/2008,Hockey,0,1,0
Chen Zhaoxia,33,China,2008,24/08/2008,Hockey,0,1,0
Cheng Hui,35,China,2008,24/08/2008,Hockey,0,1,0
Quico Cortés,25,Spain,2008,24/08/2008,Hockey,0,1,0
Eva de Goede,19,Netherlands,2008,24/08/2008,Hockey,1,0,0
Lisanne de Roever,29,Netherlands,2008,24/08/2008,Hockey,1,0,0
Liam De Young,26,Australia,2008,24/08/2008,Hockey,0,0,1
Wieke Dijkstra,24,Netherlands,2008,24/08/2008,Hockey,1,0,0
Luke Doerner,28,Australia,2008,24/08/2008,Hockey,0,0,1
Jamie Dwyer,29,Australia,2008,24/08/2008,Hockey,0,0,1
Sergi Enrique,20,Spain,2008,24/08/2008,Hockey,0,1,0
Alex Fábregas,27,Spain,2008,24/08/2008,Hockey,0,1,0
Kiko Fábregas,30,Spain,2008,24/08/2008,Hockey,0,1,0
Juan Fernández,23,Spain,2008,24/08/2008,Hockey,0,1,0
Santi Freixa,25,Spain,2008,24/08/2008,Hockey,0,1,0
Fu Baorong,30,China,2008,24/08/2008,Hockey,0,1,0
Moritz Fürste,23,Germany,2008,24/08/2008,Hockey,1,0,0
Gao Lihua,28,China,2008,24/08/2008,Hockey,0,1,0
Sole García,27,Argentina,2008,24/08/2008,Hockey,0,0,1
Rodrigo Garza,28,Spain,2008,24/08/2008,Hockey,0,1,0
Bevan George,31,Australia,2008,24/08/2008,Hockey,0,0,1
Maartje Goderie,24,Netherlands,2008,24/08/2008,Hockey,1,0,0
Mariana González,32,Argentina,2008,24/08/2008,Hockey,0,0,1
David Guest,26,Australia,2008,24/08/2008,Hockey,0,0,1
Alejandra Gulla,31,Argentina,2008,24/08/2008,Hockey,0,0,1
Rob Hammond,27,Australia,2008,24/08/2008,Hockey,0,0,1
Tobias Hauke,20,Germany,2008,24/08/2008,Hockey,1,0,0
Maripi Hernández,31,Argentina,2008,24/08/2008,Hockey,0,0,1
Ellen Hoog,22,Netherlands,2008,24/08/2008,Hockey,1,0,0
Huang Junxia,32,China,2008,24/08/2008,Hockey,0,1,0
Gisi Kañevsky,23,Argentina,2008,24/08/2008,Hockey,0,0,1
Fergus Kavanagh,23,Australia,2008,24/08/2008,Hockey,0,0,1
Florian Keller,26,Germany,2008,24/08/2008,Hockey,1,0,0
Mark Knowles,23,Australia,2008,24/08/2008,Hockey,0,0,1
Oliver Korn,24,Germany,2008,24/08/2008,Hockey,1,0,0
Stephen Lambert,28,Australia,2008,24/08/2008,Hockey,0,0,1
Li Hongxia,21,China,2008,24/08/2008,Hockey,0,1,0
Li Shuang,30,China,2008,24/08/2008,Hockey,0,1,0
Rosario Luchetti,24,Argentina,2008,24/08/2008,Hockey,0,0,1
Ma Yibo,28,China,2008,24/08/2008,Hockey,0,1,0
Mechi Margalot,33,Argentina,2008,24/08/2008,Hockey,0,0,1
Eli Matheson,25,Australia,2008,24/08/2008,Hockey,0,0,1
Niklas Meinert,27,Germany,2008,24/08/2008,Hockey,1,0,0
Jan-Marco Montag,24,Germany,2008,24/08/2008,Hockey,1,0,0
Fátima Moreira de Melo,30,Netherlands,2008,24/08/2008,Hockey,1,0,0
Eefke Mulder,30,Netherlands,2008,24/08/2008,Hockey,1,0,0
Max Müller,21,Germany,2008,24/08/2008,Hockey,1,0,0
Carlos Nevado,25,Germany,2008,24/08/2008,Hockey,1,0,0
Eddie Ockenden,21,Australia,2008,24/08/2008,Hockey,0,0,1
Roc Oliva,19,Spain,2008,24/08/2008,Hockey,0,1,0
Pan Fengzhen,23,China,2008,24/08/2008,Hockey,0,1,0
Maartje Paumen,22,Netherlands,2008,24/08/2008,Hockey,1,0,0
Sophie Polkamp,24,Netherlands,2008,24/08/2008,Hockey,1,0,0
Carla Rebecchi,23,Argentina,2008,24/08/2008,Hockey,0,0,1
Ren Ye,22,China,2008,24/08/2008,Hockey,0,1,0
Xavier Ribas,32,Spain,2008,24/08/2008,Hockey,0,1,0
Mariana Rossi,29,Argentina,2008,24/08/2008,Hockey,0,0,1
Mariné Russo,28,Argentina,2008,24/08/2008,Hockey,0,0,1
Albert Sala,27,Spain,2008,24/08/2008,Hockey,0,1,0
Janneke Schopman,31,Netherlands,2008,24/08/2008,Hockey,1,0,0
Grant Schubert,28,Australia,2008,24/08/2008,Hockey,0,0,1
Minke Smabers,29,Netherlands,2008,24/08/2008,Hockey,1,0,0
Andrew Smith,29,Australia,2008,24/08/2008,Hockey,0,0,1
Víctor Sojo,24,Spain,2008,24/08/2008,Hockey,0,1,0
Song Qingling,22,China,2008,24/08/2008,Hockey,0,1,0
Belén Succi,22,Argentina,2008,24/08/2008,Hockey,0,0,1
Tang Chunling,32,China,2008,24/08/2008,Hockey,0,1,0
Eddie Tubau,27,Spain,2008,24/08/2008,Hockey,0,1,0
Naomi van As,25,Netherlands,2008,24/08/2008,Hockey,1,0,0
Miek van Geenhuizen,26,Netherlands,2008,24/08/2008,Hockey,1,0,0
Paola Vukojicic,33,Argentina,2008,24/08/2008,Hockey,0,0,1
Max Weinhold,26,Germany,2008,24/08/2008,Hockey,1,0,0
Tibor Weißenborn,27,Germany,2008,24/08/2008,Hockey,1,0,0
Matt Wells,30,Australia,2008,24/08/2008,Hockey,0,0,1
Lidewij Welten,18,Netherlands,2008,24/08/2008,Hockey,1,0,0
Benjamin Weß,23,Germany,2008,24/08/2008,Hockey,1,0,0
Timo Weß,26,Germany,2008,24/08/2008,Hockey,1,0,0
Philip Witte,24,Germany,2008,24/08/2008,Hockey,1,0,0
Matthias Witthaus,26,Germany,2008,24/08/2008,Hockey,1,0,0
Christopher Zeller,23,Germany,2008,24/08/2008,Hockey,1,0,0
Philipp Zeller,25,Germany,2008,24/08/2008,Hockey,1,0,0
Zhang Yimeng,24,China,2008,24/08/2008,Hockey,0,1,0
Zhao Yudiao,19,China,2008,24/08/2008,Hockey,0,1,0
Zhou Wanfeng,28,China,2008,24/08/2008,Hockey,0,1,0
Magdalena Aicega,30,Argentina,2004,29/08/2004,Hockey,0,0,1
Mariela Antoniska,29,Argentina,2004,29/08/2004,Hockey,0,0,1
Clemens Arnold,25,Germany,2004,29/08/2004,Hockey,0,0,1
Inés Arrondo,26,Argentina,2004,29/08/2004,Hockey,0,0,1
Lucha Aymar,27,Argentina,2004,29/08/2004,Hockey,0,0,1
Tina Bachmann,26,Germany,2004,29/08/2004,Hockey,1,0,0
Christoph Bechmann,32,Germany,2004,29/08/2004,Hockey,0,0,1
Sebastian Biederlack,22,Germany,2004,29/08/2004,Hockey,0,0,1
Minke Booij,27,Netherlands,2004,29/08/2004,Hockey,0,1,0
Ageeth Boomgaardt,31,Netherlands,2004,29/08/2004,Hockey,0,1,0
Michael Brennan,28,Australia,2004,29/08/2004,Hockey,1,0,0
Travis Brooks,24,Australia,2004,29/08/2004,Hockey,1,0,0
Matthijs Brouwer,24,Netherlands,2004,29/08/2004,Hockey,0,1,0
Ronald Brouwer,25,Netherlands,2004,29/08/2004,Hockey,0,1,0
Claudia Burkart,24,Argentina,2004,29/08/2004,Hockey,0,0,1
Dean Butler,27,Australia,2004,29/08/2004,Hockey,1,0,0
Caroline Casaretto,26,Germany,2004,29/08/2004,Hockey,1,0,0
Philipp Crone,27,Germany,2004,29/08/2004,Hockey,0,0,1
Chantal de Bruijn,28,Netherlands,2004,29/08/2004,Hockey,0,1,0
Teun de Nooijer,28,Netherlands,2004,29/08/2004,Hockey,0,1,0
Lisanne de Roever,25,Netherlands,2004,29/08/2004,Hockey,0,1,0
Liam De Young,22,Australia,2004,29/08/2004,Hockey,1,0,0
Jeroen Delmeé,31,Netherlands,2004,29/08/2004,Hockey,0,1,0
Geert-Jan Derikx,23,Netherlands,2004,29/08/2004,Hockey,0,1,0
Rob Derikx,21,Netherlands,2004,29/08/2004,Hockey,0,1,0
Marina Di Giacomo,28,Argentina,2004,29/08/2004,Hockey,0,0,1
Mijntje Donners,30,Netherlands,2004,29/08/2004,Hockey,0,1,0
Eike Duckwitz,24,Germany,2004,29/08/2004,Hockey,0,0,1
Jamie Dwyer,25,Australia,2004,29/08/2004,Hockey,1,0,0
Nathan Eglington,23,Australia,2004,29/08/2004,Hockey,1,0,0
Marten Eikelboom,30,Netherlands,2004,29/08/2004,Hockey,0,1,0
Christoph Eimer,27,Germany,2004,29/08/2004,Hockey,0,0,1
Troy Elder,26,Australia,2004,29/08/2004,Hockey,1,0,0
Björn Emmerling,28,Germany,2004,29/08/2004,Hockey,0,0,1
Nadine Ernsting-Krienke,30,Germany,2004,29/08/2004,Hockey,1,0,0
Floris Evers,21,Netherlands,2004,29/08/2004,Hockey,0,1,0
Sole García,23,Argentina,2004,29/08/2004,Hockey,0,0,1
Bevan George,27,Australia,2004,29/08/2004,Hockey,1,0,0
Mariana González,28,Argentina,2004,29/08/2004,Hockey,0,0,1
Franziska Gude,28,Germany,2004,29/08/2004,Hockey,1,0,0
Alejandra Gulla,27,Argentina,2004,29/08/2004,Hockey,0,0,1
Mandy Haase,22,Germany,2004,29/08/2004,Hockey,1,0,0
Rob Hammond,23,Australia,2004,29/08/2004,Hockey,1,0,0
Maripi Hernández,27,Argentina,2004,29/08/2004,Hockey,0,0,1
Mark Hickman,30,Australia,2004,29/08/2004,Hockey,1,0,0
Erik Jazet,33,Netherlands,2004,29/08/2004,Hockey,0,1,0
Sylvia Karres,27,Netherlands,2004,29/08/2004,Hockey,0,1,0
Natascha Keller,27,Germany,2004,29/08/2004,Hockey,1,0,0
Karel Klaver,25,Netherlands,2004,29/08/2004,Hockey,0,1,0
Denise Klecker,32,Germany,2004,29/08/2004,Hockey,1,0,0
Mark Knowles,19,Australia,2004,29/08/2004,Hockey,1,0,0
Anke Kühn,23,Germany,2004,29/08/2004,Hockey,1,0,0
Florian Kunz,32,Germany,2004,29/08/2004,Hockey,0,0,1
Badri Latif,27,Germany,2004,29/08/2004,Hockey,1,0,0
Heike Lätzsch,30,Germany,2004,29/08/2004,Hockey,1,0,0
